plate,review_reason_code,customer_meaning,reviewer_comments,status
BANKA1,2,"BANKAI IS JAPANESE FOR ""FINAL RELEASE"". THIS IS A REFERENCE TO A ANIME.",BANKAI IS MARKED UNACCEPTABLE,N
BD ASSRE,3,NICKNAME,BAD ASS?,N
BLKPOW1,2,"I OWN A POWERFUL CAR THAT IS ALL BLACK. MY 1ST CHOICE BLKOUT, 2ND BLKOUTT, 3RD  BLKOUUT AND 4TH CHOICE BLKPOWR WERE ALL TAKEN. I ADDED THE 1 TO BETTER CENTER THE LICENSE PLATE.",BLACK POWER,N
BOCHITO,2,,CAN BE SLANG FOR MEXICAN WHORE,N
BTLTOAD,2,MY CAR LOOKS LIKE A TOAD. BTL (BATTLE) JUST MAKES IT SOUND COOLER.,BATTLE,Y
CAT L EG,1,CHARACTER NAME FROM 1960'S MOVIE STARING FRANK SINATRA,CAT,Y
CDR B357,2,"CDR IS COMMANDER IN THE NAVY. B IS FOR BOURQUE, 3=MAR, 5=CDR, 7= THE YEAR 2007",357 = GUN,Y
DA FGHTR,2,I'M A FIGHTER IN LIFE,FIGHTER,N
DEVL NI,2,DEVIL AND I SPOUSE AND I,DEVIL,Y
DIRTYYD,1,"IS A NICK NAME FROM WHEN I WAS A KID, AND HAS STUCK WITH ME SINCE. ALWAYS GETTING DIRTY AND MY FIRST LETTER OF MY NAME STARTING WITH A D... DIRTY D",DIRTY D,N
DRK KILR,2,DUCK HUNTING,KILLER,N
EATZMUD,1,EATS MUD (OFF-ROAD TRUCK),COULD HAVE SEXUAL CONNOTATION,N
E TIDIOT,2,EXTRA TERESTRIAL IDENTITY IN OTHER TERMS,IDIOT?,N
EV BUD,7D,NICKNAME,BUD,N
FOCKD,3,"MY FAMILY'S INITIALS: FELICIA, OLIVIA, CLAYTON, KIRK, DELIA",FUCKED,N
GEJIB 13,2,,13 = GANG NUMBER (NO 2013 ON ANI),N
GTFLDED,2,GRATEFUL DEAD,DEAD,N
HL YA,3,HELLCAT DODGE CHALLENGER,HELL YEAH (2017 DODGE ON ANI),Y
HN8888S,2,MY INITIAL NAME,88 = HATE NUMBER,N
ITIIITI,1,GOD IS GOOD,TITI ,N
JBOSS91,2,STANDS FOR MY NAME AND BECAUSE I AM MY OWN BOSS. 91 STANDS FOR THE YEAR I WAS BORN,BOSS,Y
KILLY 15,2,IN MEMORY OF MY YOUNG BROTHER THIS IS HIS NICKNAME,KILL,Y
KLBYDTH,2,"SONG BY THE ROCK BAND, MOTORHEAD. THE SONG FULL NAME IS ""KILLED BY DEATH""",KILL BY DEATH,N
KLR1LE,2,WHAT I CALL MY CAR,KILLER,N
KYLYMPI,1,KEY LIME PIE,PIE,Y
LVMYFIZ,3,WORK RELATED,FIZ CAN STAND FOR FUCK IT ZONE,N
MS BB2U,3,NICKNAME,BB = BAD BITCH?,N
NAKEDOG,2,A BREED OF DOG,NAKED,N
NALGON 2,2,NICKNAME,NALGON = BUTT,N
NITMR 5O,5,NIGHTMARE 5.0 BECAUSE GETTING THE CAR WAS A NIGHTMARE AND IT'S BLACK,"PULLED FOR 5O, 2 DOOR FORD",Y
NOASATL,3,I HAVE NO BUTT,NO ASS AT ALL,N
NOMERCE,2,NO MERCEDES,NO MERCY?,N
O3XX G,2,MILITARY JOB CODE,STAND ALONE G,N
PINKY71,1,,PINKY,N
PINK2RR,1,,PINK,N
PND13,2,MY INITIALS FOR MY FULL NAME AND MY BIRTHDAY DATE I WAS BORN,13 = GANG NUMBER ,N
POTMONY,7D,I MAKE MY MONEY SELLING POTTERY.,POT = MARIJUANA,N
PYKIJAY,2,INITIALS OF BEST FRIEND,PYKIE = DEROGOTORY TERM (UD),N
RA415,2,R FOR RAUL A FOR AVILES 415 AREA CODE,415 = AREA CODE,N
RDWD415,2,REDWOOD 415,415 = AREA CODE,N
RSTAMN,7D,HERMANO,RASTAMAN,Y
SB CAT,1,SANTA BARBARA CAT,CAT,Y
SDPIECE,1,I OWN A PIZZA PARLOR,SIDE PIECE,N
SHAQ ATK,2,MY NAME IS SHAQ AND I RUN AN INFORMATION SECURITY COMPANY  THERE BY THE NAME,ATTACK ,Y
SHERMN8,2,SHORT FOR SHERMANATOR WHICH IS MY DOGS NAME,TERMINATE,Y
SOLD HI,7D,WHEN YOU SELL AN INVESTMENT AT THE HIGHEST POINT IN THE MARKET.,HI = HIGH?,N
SPTGAME,2,PLAY GAMES,SPIT GAME?,N
STRWORZ,2,STAR WARS,STAR WARS,Y
SUCIO96,1,CAR IS UNWASHED MAJORITY OF THE TIME,DIRTY ,N
TUSHIEE,1,MY CHILDHOOD NICK NAME,TUSH,N
VADER14,2,IT'S A BLACK CAR THUS VADER LIKE DARTH VADER,14 = GANG NUMBER (2014 BMW ON ANI),Y
V1LLAS,2,VILLA LAST NAME. PLEASE CENTER IF POSSIBLE,VILLAS MARKED UNACCEPTABLE,N
XKYXKYX,1,IT JUST LOOKS PRETTY.,"PULLED FOR KY, XXX",N
XX 13 XX,2,"THE NUMBER 13, CAN YOU PLEASE CENTER THE NUMBER ON THE PLATE",13 = GANG NUMBER,N
YM1 BOSS,2,PERSONAL,BOSS,N
1O 6 14,2,THE DATE I MET MY GIRLFRIEND.,14 = GANG NUMBER ,Y
2BG4YOU,1,FOR MY LIFTED TRUCK,SEXUAL?,N
2B KITTY,1,CAR'S NAME,KITTY,N
3 TOOKIE,2,,TOOKIE = FOUNDER OF CRIP GANG,N
68 RDRKT,2,CAR IS RED AND FAST,RED ROCKET,Y
77ZD777,6,DAVID ZOGRABYAN,CONFIGURATION,N
8DSIXED,2,PLAY ON THE TERM 86'D AS I WORK IN RESTAURANTS AND MY CAR IS AN FT86.,86'D,N
88 BENZ,2,THIS WILL GO ON A 1988 MODEL YEAR MERCEDES-BENZ.,88 = HATE NUMBER (1988 MERZ ON ANI),Y
88MM395,2,LUCKY NUMBER/KIDS INITIALS,88 = HATE NUMBER,N
DKIN RYD,1,THE KIND RIDE,COULD HAVE SEXUAL CONNOTATION,N
$ULNGTM,1,I LOVE MY CAR VERY MUCH,LOVE YOU LONG TIME,N
W&REAGL,2,WAR EAGLE AUBURN UNIVERSITY,PULLED FOR WAR,Y
BLUBMB1,2,MY BLUE BOMB CAR,BOMB,N
CALI VAG,1,VEHICLE IS A VOLKSWAGEN (VAG) FROM CALIFORNIA,VAG,N
DDPEACH,1,NICKNAME,DOUBLE D,N
PAJARO 2,2,COMPANY NAME,CAN BE DEROGOTORY  SLANG FOR HOMOSEXUAL,N
RWANKS,1,"HOW I CALL MY WIFE AND HOW SHE CALLS ME, WE EVEN OWN THE DOWMAIN",WANK = MASTURBATE,N
VANVAPE,7D,I OWN A BUSINESS THAT IS CALLED VANITY VAPE.,VAPE,N
13SHREK,2,MY CAR'S NAME IS SHREK AND I LIKE THE NUMBER 13.,13 = GANG NUMBER,N
MSTRBTA,1,MASTER BETA.  THE MODEL IS A BETA 500 RS - THEIR TOP OF THE LINE MODEL,LOOKS LIKE MASTURBATE ,N
WILLEYG,1,FOUNDING FATHER OF HARLEY,WILLY,Y
TARDIS D,1,TARDIS D - DOCTOR WHO REFERENCE,STAND ALONE D,N
BDAZ TRL,3,SON INITIALS,BAD ASS,N
BD KTY,1,BAD KITTY,BAD KITTY,N
BTCHN37,3,COOL,BITCHIN 37,N
CHOKOSS,7D,NICKNAME,CHOKO CAN BE SLANG FOR MARIJUANA (UD),Y
CREEPS4,2,NAME,CREEP,Y
E DAZ8O5,2,"FIRST LETTER FIRST NAME, DAZ FOR ORDAZ 8O5 AREA CODE",805 = AREA CODE ,N
F JAY 6O,3,MODEL,STAND ALONE F,N
G FOLIFE,2,ORIGINAL FOR LIFE,STAND ALONE G,N
KUSTM 69,1,CUSTOM CAR 1969,FOR 69 (NO 1969 ON ANI),N
LONG 59,1,LONG 59,SEXUAL?,Y
OG VATO,2,ORIGIAL DUDE,OG,N
PAKN HET,2,,PACKIN' HEAT,N
PNZON14,2,SPANISH WORD BIG STOMACH,14 = GANG NUMBER,N
RMAO522,3,MOTHER BIRTHDAY ,ROLLING MY ASS OFF,N
SGR LUMP,1,NICKNAME,SEXUAL?,Y
TMB 4EVR,2,TROUBLE MAKER BOYS FOREVER,TROUBLE MAKER BOYS,Y
VANPQQN,1,NATIONAL VANPOON MAGAZINE,VANPOON MARKED UNACCEPTABLE,N
1BADBEE,2,CAR IS BLACK W/ YELLOW STRIPES,ONE BAD B (BITCH)?,N
6SLIM9,1,"HEIGHT, NICKNAME",FOR 69 (NO 1969 ON ANI),N
BRAPPPN  ,2,MOTORCYCLING,CAN MEAN SOUND A GUN MAKES,Y
LIVNAKD,1,"LIVE NAKED, (NAKED = TYPE OF BIKE)",NAKED,N
